,County,County Code,State,Year,Deaths,Population
0,BALDWI,1003,AL,2003,10,151595
1,JEFFERS,1073,AL,2003,37,656412
2,MOBILE,1097,AL,2003,26,412488
3,ANCHORAGE BOROUGH,2020,AK,2003,31,299962
4,MATANUSKA-SUSITNA BOROUGH,2170,AK,2003,11,72730
5,COCHISE,4003,AZ,2003,11,139692
6,COCONI,4005,AZ,2003,11,126268
7,MARICOPA,4013,AZ,2003,273,3282260
8,MARICOPA,4013,AZ,2003,63,3282260
9,MARICOPA,4013,AZ,2003,32,3282260
10,MOHAVE,4015,AZ,2003,11,194225
11,PIMA,4019,AZ,2003,145,931776
12,PIMA,4019,AZ,2003,14,931776
13,PINAL,4021,AZ,2003,18,307504
14,YAVAPAI,4025,AZ,2003,15,188493
15,PULASKI,5119,AR,2003,18,378373
16,ALAMEDA,6001,CA,2003,96,1371781
17,ALAMEDA,6001,CA,2003,11,1371781
18,BUTTE,6007,CA,2003,40,208164
19,CONTRA COSTA,6013,CA,2003,53,963443
20,CONTRA COSTA,6013,CA,2003,11,963443
21,EL DORAD,6017,CA,2003,10,170268
22,FRES,6019,CA,2003,66,875244
23,HUMBOLD,6023,CA,2003,38,132834
24,KER,6029,CA,2003,79,792596
25,KER,6029,CA,2003,18,792596
26,LOS ANGELES,6037,CA,2003,616,9588373
27,LOS ANGELES,6037,CA,2003,93,9588373
28,LOS ANGELES,6037,CA,2003,21,9588373
29,MADERA,6039,CA,2003,14,144869
30,MARI,6041,CA,2003,19,248752
31,MENDOCI,6045,CA,2003,15,87300
32,MERCED,6047,CA,2003,18,241745
33,MONTERE,6053,CA,2003,29,401697
34,NAPA,6055,CA,2003,13,134947
35,ORANGE,6059,CA,2003,152,2882881
36,ORANGE,6059,CA,2003,50,2882881
37,ORANGE,6059,CA,2003,16,2882881
38,PLACER,6061,CA,2003,28,314192
39,RIVERSIDE,6065,CA,2003,128,1984003
40,RIVERSIDE,6065,CA,2003,22,1984003
41,SACRAME,6067,CA,2003,111,1308252
42,SACRAME,6067,CA,2003,37,1308252
43,SAN BERNARDI,6071,CA,2003,40,1929466
44,SAN BERNARDI,6071,CA,2003,24,1929466
45,SAN DIEG,6073,CA,2003,222,2895548
46,SAN DIEG,6073,CA,2003,65,2895548
47,SAN FRANCIS,6075,CA,2003,91,736537
48,SAN FRANCIS,6075,CA,2003,23,736537
49,SAN JOAQUI,6077,CA,2003,45,626115
50,SAN LUIS OBISP,6079,CA,2003,10,257001
51,SAN MATE,6081,CA,2003,41,679483
52,SAN MATE,6081,CA,2003,10,679483
