,State,County,County Code,Year,Population
0,AL,AUTAUGA,1001,2003,54182
1,AL,BALDWIN,1003,2003,151595
2,AL,BARBOUR,1005,2003,30029
3,AL,BIBB,1007,2003,23079
4,AL,BLOUNT,1009,2003,57135
5,AL,BULLOCK,1011,2003,11425
6,AL,BUTLER,1013,2003,22076
7,AL,CALHOUN,1015,2003,121981
8,AL,CHAMBERS,1017,2003,34616
9,AL,CHEROKEE,1019,2003,26090
10,AL,CHILTON,1021,2003,43067
11,AL,CHOCTAW,1023,2003,14636
12,AL,CLARKE,1025,2003,27381
13,AL,CLAY,1027,2003,14122
14,AL,CLEBURNE,1029,2003,14991
15,AL,COFFEE,1031,2003,48946
16,AL,COLBERT,1033,2003,54461
17,AL,CONECUH,1035,2003,14132
18,AL,COOSA,1037,2003,12560
19,AL,COVINGTON,1039,2003,38903
20,AL,CRENSHAW,1041,2003,13931
21,AL,CULLMAN,1043,2003,76958
22,AL,DALE,1045,2003,51609
23,AL,DALLAS,1047,2003,48800
24,AL,DEKALB,1049,2003,70859
25,AL,ELMORE,1051,2003,77797
26,AL,ESCAMBIA,1053,2003,39708
27,AL,ETOWAH,1055,2003,106416
28,AL,FAYETTE,1057,2003,17835
29,AL,FRANKLIN,1059,2003,32001
30,AL,GENEVA,1061,2003,27323
31,AL,GREENE,1063,2003,9685
32,AL,HALE,1065,2003,16410
33,AL,HENRY,1067,2003,17403
34,AL,HOUSTON,1069,2003,100036
35,AL,JACKSON,1071,2003,54834
36,AL,JEFFERSON,1073,2003,656412
37,AL,LAMAR,1075,2003,14957
38,AL,LAUDERDALE,1077,2003,93008
39,AL,LAWRENCE,1079,2003,35357
40,AL,LEE,1081,2003,122056
41,AL,LIMESTONE,1083,2003,73279
42,AL,LOWNDES,1085,2003,12380
43,AL,MACON,1087,2003,24160
44,AL,MADISON,1089,2003,309480
45,AL,MARENGO,1091,2003,22436
46,AL,MARION,1093,2003,31690
47,AL,MARSHALL,1095,2003,91107
48,AL,MOBILE,1097,2003,412488
49,AL,MONROE,1099,2003,24720
50,AL,MONTGOMERY,1101,2003,232547
51,AL,MORGAN,1103,2003,120936
52,AL,PERRY,1105,2003,11821
53,AL,PICKENS,1107,2003,18682
54,AL,PIKE,1109,2003,32740
55,AL,RANDOLPH,1111,2003,22814
56,AL,RUSSELL,1113,2003,52611
57,AL,ST. CLAIR,1115,2003,79023
58,AL,SHELBY,1117,2003,178375
59,AL,SUMTER,1119,2003,14579
60,AL,TALLADEGA,1121,2003,84449
61,AL,TALLAPOOSA,1123,2003,42301
62,AL,TUSCALOOSA,1125,2003,182732
63,AL,WALKER,1127,2003,69905
64,AL,WASHINGTON,1129,2003,18492
65,AL,WILCOX,1131,2003,12358
66,AL,WINSTON,1133,2003,25097
67,AK,ALEUTIANS EAST BOROUGH,2013,2003,2928
68,AK,ALEUTIANS WEST CENSUS AREA,2016,2003,5496
69,AK,ANCHORAGE MUNICIPALITY,2020,2003,299962
70,AK,BETHEL CENSUS AREA,2050,2003,16452
71,AK,BRISTOL BAY BOROUGH,2060,2003,1157
72,AK,DENALI BOROUGH,2068,2003,1635
73,AK,DILLINGHAM CENSUS AREA,2070,2003,4844
74,AK,FAIRBANKS NORTH STAR BOROUGH,2090,2003,98226
75,AK,HAINES BOROUGH,2100,2003,2609
76,AK,HOONAH-ANGOON CENSUS AREA,2105,2003,2061
77,AK,JUNEAU CITY AND BOROUGH,2110,2003,31745
78,AK,KENAI PENINSULA BOROUGH,2122,2003,53278
79,AK,KETCHIKAN GATEWAY BOROUGH,2130,2003,13371
80,AK,KODIAK ISLAND BOROUGH,2150,2003,14319
81,AK,KUSILVAK CENSUS AREA,2158,2003,6870
82,AK,LAKE AND PENINSULA BOROUGH,2164,2003,1717
83,AK,MATANUSKA-SUSITNA BOROUGH,2170,2003,72730
84,AK,NOME CENSUS AREA,2180,2003,9339
85,AK,NORTH SLOPE BOROUGH,2185,2003,9264
86,AK,NORTHWEST ARCTIC BOROUGH,2188,2003,7589
87,AK,PETERSBURG BOROUGH,2195,2003,3262
88,AK,PRINCE OF WALES-HYDER CENSUS AREA,2198,2003,6173
89,AK,SITKA CITY AND BOROUGH,2220,2003,9247
90,AK,SKAGWAY MUNICIPALITY,2230,2003,757
91,AK,SOUTHEAST FAIRBANKS CENSUS AREA,2240,2003,7371
92,AK,VALDEZ-CORDOVA CENSUS AREA,2261,2003,10366
93,AK,WRANGELL CITY AND BOROUGH,2275,2003,2262
94,AK,YAKUTAT CITY AND BOROUGH,2282,2003,729
95,AK,YUKON-KOYUKUK CENSUS AREA,2290,2003,5931
96,AZ,APACHE,4001,2003,72711
97,AZ,COCHISE,4003,2003,139692
98,AZ,COCONINO,4005,2003,126268
99,AZ,GILA,4007,2003,52858
100,AZ,GRAHAM,4009,2003,36332
101,AZ,GREENLEE,4011,2003,7336
102,AZ,LA PAZ,4012,2003,20080
103,AZ,MARICOPA,4013,2003,3282260
104,AZ,MOHAVE,4015,2003,194225
105,AZ,NAVAJO,4017,2003,104697
106,AZ,PIMA,4019,2003,931776
107,AZ,PINAL,4021,2003,307504
108,AZ,SANTA CRUZ,4023,2003,48589
109,AZ,YAVAPAI,4025,2003,188493
110,AZ,YUMA,4027,2003,187820
111,AR,ARKANSAS,5001,2003,20290
112,AR,ASHLEY,5003,2003,23492
113,AR,BAXTER,5005,2003,41113
114,AR,BENTON,5007,2003,178426
115,AR,BOONE,5009,2003,36614
116,AR,BRADLEY,5011,2003,11995
117,AR,CALHOUN,5013,2003,5353
118,AR,CARROLL,5015,2003,26957
119,AR,CHICOT,5017,2003,13047
120,AR,CLARK,5019,2003,23686
121,AR,CLAY,5021,2003,17084
122,AR,CLEBURNE,5023,2003,26993
123,AR,CLEVELAND,5025,2003,9329
124,AR,COLUMBIA,5027,2003,25757
125,AR,CONWAY,5029,2003,21533
126,AR,CRAIGHEAD,5031,2003,86737
127,AR,CRAWFORD,5033,2003,60347
128,AR,CRITTENDEN,5035,2003,52885
129,AR,CROSS,5037,2003,19014
130,AR,DALLAS,5039,2003,8978
131,AR,DESHA,5041,2003,14190
132,AR,DREW,5043,2003,19138
133,AR,FAULKNER,5045,2003,106505
134,AR,FRANKLIN,5047,2003,18333
135,AR,FULTON,5049,2003,12229
136,AR,GARLAND,5051,2003,94018
137,AR,GRANT,5053,2003,17730
138,AR,GREENE,5055,2003,39556
139,AR,HEMPSTEAD,5057,2003,23350
140,AR,HOT SPRING,5059,2003,32875
141,AR,HOWARD,5061,2003,14267
142,AR,INDEPENDENCE,5063,2003,36077
143,AR,IZARD,5065,2003,13598
144,AR,JACKSON,5067,2003,19078
145,AR,JEFFERSON,5069,2003,84877
146,AR,JOHNSON,5071,2003,24612
147,AR,LAFAYETTE,5073,2003,8519
148,AR,LAWRENCE,5075,2003,18297
149,AR,LEE,5077,2003,11800
150,AR,LINCOLN,5079,2003,15103
151,AR,LITTLE RIVER,5081,2003,13777
152,AR,LOGAN,5083,2003,22738
153,AR,LONOKE,5085,2003,64883
154,AR,MADISON,5087,2003,14731
155,AR,MARION,5089,2003,16717
156,AR,MILLER,5091,2003,43450
157,AR,MISSISSIPPI,5093,2003,51204
158,AR,MONROE,5095,2003,9322
159,AR,MONTGOMERY,5097,2003,10040
160,AR,NEVADA,5099,2003,9764
161,AR,NEWTON,5101,2003,8711
162,AR,OUACHITA,5103,2003,28206
163,AR,PERRY,5105,2003,10453
164,AR,PHILLIPS,5107,2003,24953
165,AR,PIKE,5109,2003,11917
166,AR,POINSETT,5111,2003,24901
167,AR,POLK,5113,2003,21112
168,AR,POPE,5115,2003,60566
169,AR,PRAIRIE,5117,2003,9140
170,AR,PULASKI,5119,2003,378373
171,AR,RANDOLPH,5121,2003,18084
172,AR,ST. FRANCIS,5123,2003,30928
173,AR,SALINE,5125,2003,96142
174,AR,SCOTT,5127,2003,12218
175,AR,SEARCY,5129,2003,8252
176,AR,SEBASTIAN,5131,2003,125293
177,AR,SEVIER,5133,2003,17352
178,AR,SHARP,5135,2003,17095
179,AR,STONE,5137,2003,12419
180,AR,UNION,5139,2003,43679
181,AR,VAN BUREN,5141,2003,17970
182,AR,WASHINGTON,5143,2003,174835
183,AR,WHITE,5145,2003,76827
184,AR,WOODRUFF,5147,2003,7964
185,AR,YELL,5149,2003,22596
186,CA,ALAMEDA,6001,2003,1371781
187,CA,ALPINE,6003,2003,1159
188,CA,AMADOR,6005,2003,35732
189,CA,BUTTE,6007,2003,208164
190,CA,CALAVERAS,6009,2003,44548
191,CA,COLUSA,6011,2003,20978
192,CA,CONTRA COSTA,6013,2003,963443
193,CA,DEL NORTE,6015,2003,29279
194,CA,EL DORADO,6017,2003,170268
195,CA,FRESNO,6019,2003,875244
196,CA,GLENN,6021,2003,28111
197,CA,HUMBOLDT,6023,2003,132834
198,CA,IMPERIAL,6025,2003,168161
199,CA,INYO,6027,2003,19021
200,CA,KERN,6029,2003,792596
201,CA,KINGS,6031,2003,153220
202,CA,LAKE,6033,2003,64419
203,CA,LASSEN,6035,2003,38106
204,CA,LOS ANGELES,6037,2003,9588373
205,CA,MADERA,6039,2003,144869
206,CA,MARIN,6041,2003,248752
207,CA,MARIPOSA,6043,2003,18942
208,CA,MENDOCINO,6045,2003,87300
209,CA,MERCED,6047,2003,241745
210,CA,MODOC,6049,2003,10369
211,CA,MONO,6051,2003,14380
212,CA,MONTEREY,6053,2003,401697
213,CA,NAPA,6055,2003,134947
214,CA,NEVADA,6057,2003,97229
215,CA,ORANGE,6059,2003,2882881
216,CA,PLACER,6061,2003,314192
217,CA,PLUMAS,6063,2003,20684
218,CA,RIVERSIDE,6065,2003,1984003
219,CA,SACRAMENTO,6067,2003,1308252
220,CA,SAN BENITO,6069,2003,50177
221,CA,SAN BERNARDINO,6071,2003,1929466
222,CA,SAN DIEGO,6073,2003,2895548
223,CA,SAN FRANCISCO,6075,2003,736537
224,CA,SAN JOAQUIN,6077,2003,626115
225,CA,SAN LUIS OBISPO,6079,2003,257001
