Geography,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United States,293595805.78888845,295848237.88888884,298100669.98888826,300353102.08888865,302605534.1888881,304857966.28888845,307110398.38888884,309326085,311580009,313874218,316057727,318386421,320742673,323071342,325147121,327167434
Alabama,4700035.911111113,4712696.111111112,4725356.311111111,4738016.511111114,4750676.711111113,4763336.911111113,4775997.111111112,4785448,4798834,4815564,4830460,4842481,4853160,4864745,4875120,4887871
Alaska,701703.4888888886,704538.222222222,707372.9555555554,710207.6888888888,713042.4222222222,715877.1555555556,718711.888888889,713906,722038,730399,737045,736307,737547,741504,739786,737438
Arizona,5700647.422222227,5796611.8888888955,5892576.355555564,5988540.822222233,6084505.2888889015,6180469.75555557,6276434.222222239,6407774,6473497,6556629,6634999,6733840,6833596,6945452,7048876,7171646
Arkansas,2850432.033333335,2861275.666666668,2872119.3000000007,2882962.9333333336,2893806.56666667,2904650.200000003,2915493.833333336,2921978,2940407,2952109,2959549,2967726,2978407,2990410,3002997,3013825
California,35362331.099999905,35652100.333333254,35941869.5666666,36231638.79999995,36521408.03333318,36811177.26666653,37100946.49999988,37320903,37641823,37960782,38280824,38625139,38953142,39209127,39399349,39557045
Colorado,4458501.055555552,4540960.222222209,4623419.3888888955,4705878.555555552,4788337.722222209,4870796.8888888955,4953256.055555552,5048281,5121771,5193721,5270482,5351218,5452107,5540921,5615902,5695564
Connecticut,3604523.5611111107,3602738.2777777775,3600952.9944444443,3599167.7111111106,3597382.4277777774,3595597.144444444,3593811.8611111105,3579125,3588023,3594395,3594915,3594783,3587509,3578674,3573880,3572665
Delaware,839918.4833333343,848342.1666666679,856765.8500000015,865189.5333333351,873613.2166666687,882036.9000000022,890460.5833333358,899595,907316,915188,923638,932596,941413,949216,957078,967171
District of Columbia,522331.72222222015,534769.5555555522,547207.3888888881,559645.2222222202,572083.0555555522,584520.8888888881,596958.7222222202,605085,619602,634725,650431,662513,675254,686575,695691,702455
Florida,16545507.938888907,16857726.72222221,17169945.50555551,17482164.28888893,17794383.072222233,18106601.855555534,18418820.638888955,18845785,19093352,19326230,19563166,19860330,20224249,20629982,20976812,21299325
