,County,Deaths,MME,QUANTITY,State,Year,County Code,Population,MME_Per_Capita,Deaths_Per_100000
0,ALACHUA,,82596.6186877293,54294.0,FL,2006,12001.0,234444.0,0.35230852010599245,
1,ALACHUA,17.0,95259.62797679311,56118.0,FL,2007,12001.0,237321.0,0.40139569602687125,7.163293598122374
2,ALACHUA,,114675.22192176849,64869.0,FL,2008,12001.0,240199.0,0.4774175659422749,
3,ALACHUA,15.0,141281.0481854313,73351.0,FL,2009,12001.0,243076.0,0.5812217091997207,6.170909509782949
4,ALACHUA,15.0,150910.7858758919,74339.0,FL,2010,12001.0,247613.0,0.6094622894431709,6.057840258790936
5,ALACHUA,14.0,145750.68089929313,75170.0,FL,2011,12001.0,249806.0,0.5834554850535741,5.604348974804449
6,ALACHUA,14.0,127727.613021565,64830.0,FL,2012,12001.0,251513.0,0.5078370224265346,5.566312675686744
7,BAKER,,11900.178637500152,8450.0,FL,2006,12003.0,26022.0,0.457312221869962,
8,BAKER,,13793.788183225111,11144.0,FL,2007,12003.0,26201.0,0.5264603711012981,
9,BAKER,,15651.322154225169,11884.0,FL,2008,12003.0,26379.0,0.5933250750303335,
10,BAKER,,19165.96729500018,13641.0,FL,2009,12003.0,26558.0,0.7216645566307772,
11,BAKER,,29821.45321500012,17082.0,FL,2010,12003.0,27062.0,1.1019678225925698,
12,BAKER,,32777.553120000026,17866.0,FL,2011,12003.0,27043.0,1.2120531420330594,
13,BAKER,,21659.46165000021,13116.0,FL,2012,12003.0,27047.0,0.8008082837283325,
14,BAY,,61998.102472078564,50655.0,FL,2006,12005.0,159115.0,0.38964335525926885,
15,BAY,,61255.85799926616,46572.0,FL,2007,12005.0,161413.0,0.3794976736648607,
16,BAY,,65665.01292126594,49160.0,FL,2008,12005.0,163711.0,0.40110324242882844,
17,BAY,,68131.16719294015,53031.0,FL,2009,12005.0,166009.0,0.4104064670767257,
18,BAY,,73912.3022531658,60871.0,FL,2010,12005.0,169205.0,0.4368210292436146,
19,BAY,,73505.84484769049,62817.0,FL,2011,12005.0,169541.0,0.43355792904188656,
20,BAY,,73272.65335132717,68251.0,FL,2012,12005.0,171749.0,0.4266263754160267,
21,BRADFORD,,13424.830894900231,8450.0,FL,2006,12007.0,28341.0,0.47368938622138357,
22,BRADFORD,,15854.865475125225,9861.0,FL,2007,12007.0,28211.0,0.5620100483898205,
23,BRADFORD,,17501.063683500106,10934.0,FL,2008,12007.0,28081.0,0.6232350587051781,
24,BRADFORD,,21250.949666812667,12452.0,FL,2009,12007.0,27951.0,0.7602930008519433,
25,BRADFORD,,26551.078983862728,14384.0,FL,2010,12007.0,28536.0,0.9304415119099638,
26,BRADFORD,,21271.09919250028,12075.0,FL,2011,12007.0,28432.0,0.7481393919703251,
27,BRADFORD,,16872.471022500224,10056.0,FL,2012,12007.0,27049.0,0.6237742993271553,
28,BREVARD,98.0,201186.1534030964,121039.0,FL,2006,12009.0,507319.0,0.39656735388009595,19.31723432396579
29,BREVARD,86.0,246505.6839382635,143028.0,FL,2007,12009.0,514316.0,0.47928838289740844,16.721237527123403
30,BREVARD,121.0,317947.5992638272,169937.0,FL,2008,12009.0,521312.0,0.6098988691298631,23.210668467251857
31,BREVARD,135.0,365366.2497193953,183556.0,FL,2009,12009.0,528308.0,0.6915781129935479,25.55327574066643
32,BREVARD,135.0,508840.976494513,226565.0,FL,2010,12009.0,543972.0,0.9354175885790316,24.81745383953586
