,County,Year,State,QUANTITY,MME,Deaths
0,APPLING,2006,GA,2275.0,3996.84377899999,
1,APPLING,2007,GA,2629.0,4277.968323587509,
2,APPLING,2008,GA,2976.0,4747.700521000031,
3,APPLING,2009,GA,3465.0,5825.513103862545,
4,APPLING,2010,GA,4707.0,9448.791146362624,
5,APPLING,2011,GA,4712.0,10493.837565000113,
6,APPLING,2012,GA,5079.0,11679.555495000119,
7,ATKINSON,2006,GA,879.0,1375.483686000003,
8,ATKINSON,2007,GA,1049.0,1788.9647190000037,
9,ATKINSON,2008,GA,1331.0,1976.8532100000107,
10,ATKINSON,2009,GA,1322.0,2005.6088625000123,
11,ATKINSON,2010,GA,2169.0,3106.023682500022,
12,ATKINSON,2011,GA,2000.0,2870.52858000002,
13,ATKINSON,2012,GA,2518.0,2978.720032500025,
14,BACON,2006,GA,2948.0,4586.778211000013,
15,BACON,2007,GA,4350.0,7998.442163000079,
16,BACON,2008,GA,4010.0,8383.939178362572,
17,BACON,2009,GA,4665.0,12906.855975000119,
18,BACON,2010,GA,9057.0,29123.61209250027,
19,BACON,2011,GA,7989.0,23285.3839875002,
20,BACON,2012,GA,7125.0,16248.752550000228,
21,BAKER,2006,GA,5.0,9.6516,
22,BALDWIN,2006,GA,6772.0,11069.705010362784,
23,BALDWIN,2007,GA,8046.0,13630.32200385028,
24,BALDWIN,2008,GA,9256.0,15204.14030656284,
25,BALDWIN,2009,GA,9900.0,16125.309516112777,
26,BALDWIN,2010,GA,10565.0,18814.531522500263,
27,BALDWIN,2011,GA,12171.0,20120.86462803767,
28,BALDWIN,2012,GA,14116.0,22942.55441250017,
29,BANKS,2006,GA,1259.0,2454.1627150000063,
30,BANKS,2007,GA,1381.0,2930.535247500015,
31,BANKS,2008,GA,2160.0,4608.204394000012,
32,BANKS,2009,GA,2632.0,5330.374612500033,
33,BANKS,2010,GA,3569.0,7330.746787500052,
34,BANKS,2011,GA,3852.0,7995.982980000064,
35,BANKS,2012,GA,3683.0,6478.398802500073,
36,BARROW,2006,GA,11915.0,17712.133381862863,10.0
37,BARROW,2007,GA,14879.0,22663.81792950048,
38,BARROW,2008,GA,16903.0,25216.601943863152,10.0
39,BARROW,2009,GA,18967.0,28692.509040000554,
40,BARROW,2010,GA,21012.0,34411.368870000435,12.0
41,BARROW,2011,GA,21525.0,34071.27007590038,
