,County,Year,State,MME,Deaths
0,ADAMS,2006,IL,11998.617980000114,
1,ADAMS,2007,IL,13751.481806675201,
2,ADAMS,2008,IL,15660.886890812697,
3,ADAMS,2009,IL,17577.797527500294,
4,ADAMS,2010,IL,20029.78060500053,
5,ADAMS,2011,IL,20223.139485000505,
6,ADAMS,2012,IL,20675.829720000147,
7,ALEXANDER,2006,IL,841.3771875000017,
8,ALEXANDER,2007,IL,814.1016375000004,
9,ALEXANDER,2008,IL,1096.8751200000029,
10,ALEXANDER,2009,IL,778.676775,
11,ALEXANDER,2010,IL,953.8015500000002,
12,ALEXANDER,2011,IL,1205.5412625000006,
13,ALEXANDER,2012,IL,1002.3264375,
14,BOND,2006,IL,1150.6120485000054,
15,BOND,2007,IL,1686.6098970000012,
16,BOND,2008,IL,1801.2349485000057,
17,BOND,2009,IL,1962.6445275000053,
18,BOND,2010,IL,2288.9851125000064,
19,BOND,2011,IL,3050.1578025000167,
20,BOND,2012,IL,3104.29013250002,
21,BOONE,2006,IL,5000.149117500045,
22,BOONE,2007,IL,5563.778145000058,
23,BOONE,2008,IL,6873.820740225144,
24,BOONE,2009,IL,7768.3793880001695,
25,BOONE,2010,IL,8259.485295000235,
26,BOONE,2011,IL,9616.814640000222,
27,BOONE,2012,IL,10374.58460250017,
28,BROWN,2006,IL,265.80869999999976,
29,BROWN,2007,IL,410.1664124999991,
30,BROWN,2008,IL,512.4379874999993,
31,BROWN,2009,IL,630.9479999999999,
32,BROWN,2010,IL,718.790775,
33,BROWN,2011,IL,869.5439025000011,
34,BROWN,2012,IL,892.1745375000016,
35,BUREAU,2006,IL,3118.19197049998,
36,BUREAU,2007,IL,3533.560951499976,
37,BUREAU,2008,IL,2843.3364287249983,
38,BUREAU,2009,IL,2915.9774175,
39,BUREAU,2010,IL,2975.700899999998,
40,BUREAU,2011,IL,4667.347500000038,
41,BUREAU,2012,IL,5716.523302500056,
42,CALHOUN,2006,IL,1091.5374375000015,
43,CALHOUN,2007,IL,1083.678480000002,
44,CALHOUN,2008,IL,1470.9124485000045,
45,CALHOUN,2009,IL,1232.5707750000026,
46,CALHOUN,2010,IL,768.9546000000017,
47,CALHOUN,2011,IL,501.4038374999991,
48,CALHOUN,2012,IL,797.6144924999998,
49,CARROLL,2006,IL,801.9947250000018,
50,CARROLL,2007,IL,1123.6103010000047,
51,CARROLL,2008,IL,1100.5929075000051,
52,CARROLL,2009,IL,1130.4211125000063,
53,CARROLL,2010,IL,1429.316737500007,
54,CARROLL,2011,IL,1529.1072750000083,
55,CARROLL,2012,IL,1464.5709825000076,
56,CASS,2006,IL,1438.2210300000036,
57,CASS,2007,IL,1194.5699250000057,
58,CASS,2008,IL,1248.949875000006,
59,CASS,2009,IL,1445.6733750000042,
60,CASS,2010,IL,1293.134850000003,
61,CASS,2011,IL,1138.5197625000042,
62,CASS,2012,IL,1160.6129250000079,
63,CHAMPAIGN,2006,IL,18152.77908000049,
64,CHAMPAIGN,2007,IL,21005.351320500773,13.0
65,CHAMPAIGN,2008,IL,24228.106716863706,10.0
66,CHAMPAIGN,2009,IL,24730.192102501405,15.0
67,CHAMPAIGN,2010,IL,26503.30806750169,11.0
68,CHAMPAIGN,2011,IL,29636.76387000174,18.0
69,CHAMPAIGN,2012,IL,30923.017713864272,16.0
70,CHRISTIAN,2006,IL,6128.553114000074,
71,CHRISTIAN,2007,IL,6417.394230000106,
72,CHRISTIAN,2008,IL,7171.625629500182,
73,CHRISTIAN,2009,IL,8318.194072500175,
74,CHRISTIAN,2010,IL,8615.646435000222,
75,CHRISTIAN,2011,IL,9654.92666250018,
76,CHRISTIAN,2012,IL,8574.660795000125,
77,CLARK,2006,IL,3028.193164537496,
78,CLARK,2007,IL,3090.695571575003,
79,CLARK,2008,IL,3403.0737300000096,
80,CLARK,2009,IL,4163.767421362509,
81,CLARK,2010,IL,4366.674360675019,
82,CLARK,2011,IL,4555.728345225031,
83,CLARK,2012,IL,4629.7336913625395,
84,CLAY,2006,IL,1477.2714675000054,
85,CLAY,2007,IL,1889.500927500008,
86,CLAY,2008,IL,1910.1816450000078,
87,CLAY,2009,IL,2008.7514075000079,
88,CLAY,2010,IL,1827.615675000007,
89,CLAY,2011,IL,2087.5717125000106,
90,CLAY,2012,IL,2151.7686750000075,
91,CLINTON,2006,IL,2346.4195635000024,
92,CLINTON,2007,IL,2497.956822225004,
93,CLINTON,2008,IL,2835.210572999996,
94,CLINTON,2009,IL,3028.163977499994,
95,CLINTON,2010,IL,3160.6514774999973,
96,CLINTON,2011,IL,3903.408839999996,
97,CLINTON,2012,IL,4757.450835000037,
98,COLES,2006,IL,7830.381404500083,
99,COLES,2007,IL,8019.3835145001385,
100,COLES,2008,IL,9296.029965000178,
101,COLES,2009,IL,9934.177762500132,
102,COLES,2010,IL,10916.774377500231,
103,COLES,2011,IL,12051.07825500021,
104,COLES,2012,IL,12868.618947262723,
105,COOK,2006,IL,410469.149804509,748.0
106,COOK,2007,IL,420696.0956439729,514.0
107,COOK,2008,IL,437499.22486525646,534.0
108,COOK,2009,IL,480970.921529329,521.0
109,COOK,2010,IL,548005.8330839599,483.0
110,COOK,2011,IL,599070.8212640735,496.0
111,COOK,2012,IL,637216.2084489743,610.0
