,County,Year,State,MME,Deaths
0,ADAMS,2006,IN,3290.647777499995,
1,ADAMS,2007,IN,3786.5570624999873,
2,ADAMS,2008,IN,3946.6673999999994,
3,ADAMS,2009,IN,4369.483762500018,
4,ADAMS,2010,IN,5176.396710000045,
5,ADAMS,2011,IN,6431.732400000076,
6,ADAMS,2012,IN,7668.768855000082,
7,ALLEN,2006,IN,48037.84991659134,19.0
8,ALLEN,2007,IN,55528.180096992815,18.0
9,ALLEN,2008,IN,64881.65594266926,22.0
10,ALLEN,2009,IN,79105.46009940881,31.0
11,ALLEN,2010,IN,89461.47146997279,33.0
12,ALLEN,2011,IN,94547.9398168609,25.0
13,ALLEN,2012,IN,110190.4271684735,33.0
14,BARTHOLOMEW,2006,IN,32109.75190822624,
15,BARTHOLOMEW,2007,IN,39953.427526626736,10.0
16,BARTHOLOMEW,2008,IN,44218.35153693945,14.0
17,BARTHOLOMEW,2009,IN,47197.97768385183,
18,BARTHOLOMEW,2010,IN,48943.89980021432,14.0
19,BARTHOLOMEW,2011,IN,52519.7474038518,
20,BARTHOLOMEW,2012,IN,55403.16171045188,
21,BENTON,2006,IN,587.2719225000002,
22,BENTON,2007,IN,507.4149674999995,
23,BENTON,2008,IN,613.7498550000001,
24,BENTON,2009,IN,1079.2661700000028,
25,BENTON,2010,IN,604.8693149999998,
26,BENTON,2011,IN,563.0899874999997,
27,BENTON,2012,IN,667.7096250000006,
28,BLACKFORD,2006,IN,5285.686666500009,
29,BLACKFORD,2007,IN,7058.54843100002,
30,BLACKFORD,2008,IN,8353.47055417501,
31,BLACKFORD,2009,IN,9754.883400000037,
32,BLACKFORD,2010,IN,10041.242774999999,
33,BLACKFORD,2011,IN,9787.732837500049,
34,BLACKFORD,2012,IN,11310.607988400043,
35,BOONE,2006,IN,10059.567466000186,
36,BOONE,2007,IN,12679.139156675228,
37,BOONE,2008,IN,16200.99539936289,
38,BOONE,2009,IN,18474.611505450477,
39,BOONE,2010,IN,20987.10823181308,
40,BOONE,2011,IN,23958.863767500578,
41,BOONE,2012,IN,27868.37204636299,
42,BROWN,2006,IN,3596.821793499999,
43,BROWN,2007,IN,4021.6539050000033,
44,BROWN,2008,IN,4395.319347500009,
45,BROWN,2009,IN,4178.777625000009,
46,BROWN,2010,IN,3754.7107500000116,
47,BROWN,2011,IN,3774.8790375000103,
48,BROWN,2012,IN,3648.079537500007,
49,CARROLL,2006,IN,1528.671673000002,
50,CARROLL,2007,IN,1921.6664325000038,
51,CARROLL,2008,IN,2192.3365590000067,
52,CARROLL,2009,IN,2440.6591050000065,
53,CARROLL,2010,IN,2015.0392875000043,
54,CARROLL,2011,IN,2763.754327500005,
55,CARROLL,2012,IN,3018.2449875000043,
56,CASS,2006,IN,4879.362639500025,
57,CASS,2007,IN,5909.940867000056,
58,CASS,2008,IN,7135.397292862584,
59,CASS,2009,IN,8855.856570000127,
60,CASS,2010,IN,8564.843085450106,
61,CASS,2011,IN,10642.478115900152,
62,CASS,2012,IN,12416.003775000137,
63,CLARK,2006,IN,40367.76438958935,10.0
64,CLARK,2007,IN,47380.20452186483,12.0
65,CLARK,2008,IN,60149.74765917799,15.0
66,CLARK,2009,IN,69054.35792044066,
67,CLARK,2010,IN,77671.65040909147,19.0
68,CLARK,2011,IN,82532.47356000383,29.0
69,CLARK,2012,IN,88072.78299022929,30.0
70,CLAY,2006,IN,6088.775954362521,
71,CLAY,2007,IN,7601.5093080000715,
72,CLAY,2008,IN,8550.631620000077,
73,CLAY,2009,IN,8725.974075000113,
74,CLAY,2010,IN,9314.267812500131,
75,CLAY,2011,IN,10188.728910000165,
76,CLAY,2012,IN,10659.246885000204,
77,CLINTON,2006,IN,5536.333168000031,
78,CLINTON,2007,IN,7895.293393500099,
79,CLINTON,2008,IN,9079.987861500114,
80,CLINTON,2009,IN,10294.811550000139,
81,CLINTON,2010,IN,11880.275497500117,
82,CLINTON,2011,IN,13434.838575000123,
83,CLINTON,2012,IN,15771.01534136262,
84,CRAWFORD,2006,IN,1846.2151020000013,
85,CRAWFORD,2007,IN,2784.894862500003,
86,CRAWFORD,2008,IN,2810.621400000005,
87,CRAWFORD,2009,IN,2857.514797499999,
88,CRAWFORD,2010,IN,2905.3976625000096,
89,CRAWFORD,2011,IN,3216.7819913625067,
90,CRAWFORD,2012,IN,3304.6393059000034,
91,DAVIESS,2006,IN,9589.886132500049,
92,DAVIESS,2007,IN,11802.963538000027,
93,DAVIESS,2008,IN,12623.684476500053,
94,DAVIESS,2009,IN,13062.883657500115,
95,DAVIESS,2010,IN,13347.069247500169,
96,DAVIESS,2011,IN,15187.502032500142,
97,DAVIESS,2012,IN,16547.241180000037,
98,DE KALB,2006,IN,5930.318139000073,
99,DE KALB,2007,IN,7161.044250000121,
100,DE KALB,2008,IN,7607.751622500141,
101,DE KALB,2009,IN,8534.735662500138,
102,DE KALB,2010,IN,10257.212790225176,
103,DE KALB,2011,IN,11962.439711362738,
104,DE KALB,2012,IN,14348.14104772526,
105,DEARBORN,2006,IN,19545.5830798505,
106,DEARBORN,2007,IN,24437.07517130074,
107,DEARBORN,2008,IN,28298.47900950072,
108,DEARBORN,2009,IN,29361.350662725217,
109,DEARBORN,2010,IN,33306.373203862815,10.0
110,DEARBORN,2011,IN,31636.738440900237,
111,DEARBORN,2012,IN,30430.194965437644,11.0
112,DECATUR,2006,IN,8128.5512790000985,
113,DECATUR,2007,IN,11594.011716000161,
114,DECATUR,2008,IN,9967.92677700013,
115,DECATUR,2009,IN,10196.064270000115,
116,DECATUR,2010,IN,11015.62291522514,
117,DECATUR,2011,IN,11130.893775000106,
118,DECATUR,2012,IN,12183.213577500095,
119,DELAWARE,2006,IN,47442.61865666564,18.0
120,DELAWARE,2007,IN,56599.88120756694,11.0
121,DELAWARE,2008,IN,59513.24421051788,16.0
122,DELAWARE,2009,IN,66444.24099292996,24.0
123,DELAWARE,2010,IN,71225.80583111767,11.0
124,DELAWARE,2011,IN,70960.57404225512,16.0
125,DELAWARE,2012,IN,75877.43937386804,13.0
126,DUBOIS,2006,IN,11550.580532500177,
127,DUBOIS,2007,IN,13696.370145500161,
128,DUBOIS,2008,IN,14784.802474500162,
129,DUBOIS,2009,IN,15458.471595000192,
130,DUBOIS,2010,IN,15882.848880000192,
131,DUBOIS,2011,IN,17745.24286500019,
132,DUBOIS,2012,IN,19643.945272500117,
133,ELKHART,2006,IN,26928.13537400139,
134,ELKHART,2007,IN,33231.02800208933,
135,ELKHART,2008,IN,38050.37141700211,20.0
136,ELKHART,2009,IN,41652.39327000205,21.0
137,ELKHART,2010,IN,46581.2772788648,13.0
138,ELKHART,2011,IN,52588.711042502444,15.0
139,ELKHART,2012,IN,59172.311681365194,15.0
140,FAYETTE,2006,IN,15396.400500500124,
141,FAYETTE,2007,IN,16215.830282000124,
142,FAYETTE,2008,IN,18173.888580500272,
143,FAYETTE,2009,IN,19959.383325000254,
144,FAYETTE,2010,IN,22968.047325000352,
145,FAYETTE,2011,IN,24852.732292500146,
146,FAYETTE,2012,IN,26004.57297749998,
147,FLOYD,2006,IN,39327.883043864305,10.0
148,FLOYD,2007,IN,47228.03576857713,
149,FLOYD,2008,IN,60672.4559803148,
150,FLOYD,2009,IN,66246.35759726475,
151,FLOYD,2010,IN,71080.83132686486,13.0
152,FLOYD,2011,IN,70270.02176943973,14.0
153,FLOYD,2012,IN,71845.61124000193,14.0
154,FOUNTAIN,2006,IN,4630.246172225012,
155,FOUNTAIN,2007,IN,6713.136534862523,
156,FOUNTAIN,2008,IN,7229.576079000036,
157,FOUNTAIN,2009,IN,7058.099895225023,
158,FOUNTAIN,2010,IN,7428.288862500018,
159,FOUNTAIN,2011,IN,7949.565502500014,
160,FOUNTAIN,2012,IN,8428.622025000031,
161,FRANKLIN,2006,IN,2881.4245785000057,
162,FRANKLIN,2007,IN,4464.358003500003,
163,FRANKLIN,2008,IN,4781.294647500011,
164,FRANKLIN,2009,IN,6235.512675000016,
165,FRANKLIN,2010,IN,7343.671095225017,
166,FRANKLIN,2011,IN,8833.431330000027,
167,FRANKLIN,2012,IN,10143.98271000004,
168,FULTON,2006,IN,4874.988350000044,
169,FULTON,2007,IN,5266.552062500037,
170,FULTON,2008,IN,6341.986984500102,
171,FULTON,2009,IN,7488.797925000085,
172,FULTON,2010,IN,8133.1021240876225,
173,FULTON,2011,IN,8120.077950000105,
174,FULTON,2012,IN,9821.352960225146,
175,GIBSON,2006,IN,6156.878519000057,
176,GIBSON,2007,IN,8714.699488500126,
177,GIBSON,2008,IN,10438.099890000103,
178,GIBSON,2009,IN,12345.151938862611,
179,GIBSON,2010,IN,13340.251897500182,
180,GIBSON,2011,IN,14183.87523000022,
181,GIBSON,2012,IN,15259.008277500148,
182,GRANT,2006,IN,21033.024110587958,
183,GRANT,2007,IN,25407.616664263125,15.0
184,GRANT,2008,IN,28846.465695363215,
185,GRANT,2009,IN,32411.13362295039,10.0
186,GRANT,2010,IN,32380.754797500358,13.0
187,GRANT,2011,IN,33196.325602725236,14.0
188,GRANT,2012,IN,43721.56398408853,24.0
189,GREENE,2006,IN,7659.796478000105,
190,GREENE,2007,IN,9144.08904000006,
191,GREENE,2008,IN,9684.977850000098,
192,GREENE,2009,IN,11085.57960000013,
193,GREENE,2010,IN,11926.438575000178,10.0
194,GREENE,2011,IN,13506.27392636266,
195,GREENE,2012,IN,14154.427605000137,
196,HAMILTON,2006,IN,37667.970191403154,12.0
197,HAMILTON,2007,IN,44716.894535766856,13.0
198,HAMILTON,2008,IN,49637.39251517949,
199,HAMILTON,2009,IN,58455.722685904715,15.0
200,HAMILTON,2010,IN,65470.07742202985,17.0
201,HAMILTON,2011,IN,71798.98592704257,16.0
202,HAMILTON,2012,IN,84460.02020363082,18.0
203,HANCOCK,2006,IN,14323.666079500263,
204,HANCOCK,2007,IN,18682.064752000377,
205,HANCOCK,2008,IN,21667.963071000497,
206,HANCOCK,2009,IN,22585.59070500044,
207,HANCOCK,2010,IN,24345.664275000338,
208,HANCOCK,2011,IN,26165.260777500374,
209,HANCOCK,2012,IN,27952.25277386291,
210,HARRISON,2006,IN,10870.347314500132,
211,HARRISON,2007,IN,12206.386759000141,
212,HARRISON,2008,IN,14205.716068500167,
213,HARRISON,2009,IN,14938.757853862728,
214,HARRISON,2010,IN,16464.49572000022,
215,HARRISON,2011,IN,17147.104125000194,
216,HARRISON,2012,IN,20104.58224500025,
217,HENDRICKS,2006,IN,25304.72844057652,
218,HENDRICKS,2007,IN,34357.28509315235,
219,HENDRICKS,2008,IN,39987.87891879027,12.0
220,HENDRICKS,2009,IN,45416.01502234031,11.0
221,HENDRICKS,2010,IN,47665.91846134054,
222,HENDRICKS,2011,IN,52785.35135134098,13.0
223,HENDRICKS,2012,IN,58549.437178840846,14.0
224,HENRY,2006,IN,18063.532571675612,13.0
225,HENRY,2007,IN,22057.328180888602,18.0
226,HENRY,2008,IN,25514.68728476376,14.0
227,HENRY,2009,IN,28425.582432713578,11.0
228,HENRY,2010,IN,30506.76408885126,12.0
229,HENRY,2011,IN,32084.78679090128,
230,HENRY,2012,IN,33720.09186022614,
231,HOWARD,2006,IN,39247.7831773642,21.0
232,HOWARD,2007,IN,44870.34725281447,24.0
