,County,Year,State,QUANTITY,MME,Deaths
0,ADAMS,2006,OH,7035.0,12563.788718000123,
1,ADAMS,2007,OH,7813.0,13396.9714925001,
2,ADAMS,2008,OH,8881.0,15237.123843000096,
3,ADAMS,2009,OH,9240.0,16515.38841000014,
4,ADAMS,2010,OH,9152.0,15652.694752725067,
5,ADAMS,2011,OH,8780.0,13083.464666812544,
6,ADAMS,2012,OH,7327.0,12020.049457500025,10.0
7,ALLEN,2006,OH,12006.0,18586.74140681299,
8,ALLEN,2007,OH,13914.0,21378.78974336308,
9,ALLEN,2008,OH,15607.0,23316.357475725727,
10,ALLEN,2009,OH,16458.0,24238.789564538165,
11,ALLEN,2010,OH,20443.0,27279.551625225944,
12,ALLEN,2011,OH,22692.0,27930.213188626003,
13,ALLEN,2012,OH,22184.0,25824.565099988376,14.0
14,ASHLAND,2006,OH,4166.0,5494.607232000045,
15,ASHLAND,2007,OH,5126.0,6669.70341650008,
16,ASHLAND,2008,OH,5655.0,6750.834717000078,
17,ASHLAND,2009,OH,5957.0,7137.687069300089,
18,ASHLAND,2010,OH,6862.0,8252.783970000099,
19,ASHLAND,2011,OH,7499.0,9369.376466587535,
20,ASHLAND,2012,OH,7658.0,9015.614581350106,
21,ASHTABULA,2006,OH,18469.0,27441.53337603868,
22,ASHTABULA,2007,OH,20737.0,31454.00433122615,
23,ASHTABULA,2008,OH,24389.0,35485.23205422632,10.0
24,ASHTABULA,2009,OH,30661.0,47230.40584612623,
25,ASHTABULA,2010,OH,33568.0,55671.56282111312,18.0
26,ASHTABULA,2011,OH,36379.0,62238.96675315024,18.0
27,ASHTABULA,2012,OH,34893.0,57269.0349265499,26.0
28,ATHENS,2006,OH,12142.0,25211.83452595032,
29,ATHENS,2007,OH,12508.0,23264.274747625328,13.0
30,ATHENS,2008,OH,13838.0,24566.450509537903,
31,ATHENS,2009,OH,15496.0,26578.472344050286,
32,ATHENS,2010,OH,18045.0,29528.793425888063,
33,ATHENS,2011,OH,20213.0,30559.98564360077,12.0
34,ATHENS,2012,OH,21995.0,33215.81944087598,10.0
35,AUGLAIZE,2006,OH,4492.0,5908.711449125071,
36,AUGLAIZE,2007,OH,4889.0,7129.573184000118,
37,AUGLAIZE,2008,OH,5576.0,7188.925401350116,
38,AUGLAIZE,2009,OH,6159.0,7237.88631386262,
39,AUGLAIZE,2010,OH,7032.0,8069.276824312674,
40,AUGLAIZE,2011,OH,7963.0,8744.33729295013,
41,AUGLAIZE,2012,OH,8490.0,8824.648213387674,
42,BELMONT,2006,OH,17912.0,28346.20601435104,
43,BELMONT,2007,OH,21837.0,34814.55257681399,
44,BELMONT,2008,OH,25298.0,41288.935271514165,
45,BELMONT,2009,OH,28883.0,48111.82745317671,
46,BELMONT,2010,OH,30013.0,50429.22420498919,
47,BELMONT,2011,OH,29899.0,47066.42208588904,
48,BELMONT,2012,OH,30926.0,47082.43924702629,10.0
49,BROWN,2006,OH,8404.0,13906.918790862694,
50,BROWN,2007,OH,9460.0,15169.662886500179,
51,BROWN,2008,OH,10830.0,16257.13669136274,12.0
52,BROWN,2009,OH,12029.0,17903.171340000234,
53,BROWN,2010,OH,12298.0,19549.41093750025,16.0
54,BROWN,2011,OH,12946.0,20986.00048567512,11.0
55,BROWN,2012,OH,12424.0,20095.081432500054,13.0
56,BUTLER,2006,OH,79905.0,152586.6628580013,46.0
57,BUTLER,2007,OH,93260.0,170926.80459953984,45.0
58,BUTLER,2008,OH,103162.0,182892.39595622814,55.0
59,BUTLER,2009,OH,116471.0,196709.0227936292,66.0
60,BUTLER,2010,OH,153340.0,240787.29063181518,73.0
61,BUTLER,2011,OH,174094.0,276035.2191038433,80.0
62,BUTLER,2012,OH,174981.0,298141.14393770695,90.0
63,CARROLL,2006,OH,1506.0,3150.3274470000033,
64,CARROLL,2007,OH,1912.0,4113.479590949998,
65,CARROLL,2008,OH,1972.0,3931.826377500011,
66,CARROLL,2009,OH,2576.0,4296.670837500017,
67,CARROLL,2010,OH,2936.0,4073.053515000014,
68,CARROLL,2011,OH,3133.0,4243.202546362519,
69,CARROLL,2012,OH,3075.0,3667.5736427250126,
70,CHAMPAIGN,2006,OH,4721.0,7738.052918762605,
71,CHAMPAIGN,2007,OH,5465.0,8904.850197000093,
72,CHAMPAIGN,2008,OH,6055.0,9809.71317600012,
73,CHAMPAIGN,2009,OH,6607.0,10425.062352037588,
74,CHAMPAIGN,2010,OH,7026.0,10647.599830200163,
75,CHAMPAIGN,2011,OH,7940.0,10312.99178133766,
76,CHAMPAIGN,2012,OH,8070.0,10840.215814950163,
77,CLARK,2006,OH,27038.0,53830.532884589484,18.0
78,CLARK,2007,OH,28700.0,56147.50689978947,20.0
79,CLARK,2008,OH,29070.0,52468.821660788846,19.0
80,CLARK,2009,OH,31104.0,54272.28129247687,12.0
81,CLARK,2010,OH,32695.0,53454.62198178915,20.0
82,CLARK,2011,OH,40732.0,53500.267624727116,34.0
83,CLARK,2012,OH,38054.0,48946.34043630183,36.0
84,CLERMONT,2006,OH,41280.0,67475.40910686675,31.0
