,County,Year,State,QUANTITY,MME,Deaths
0,ADAMS,2006,PA,10603.0,22081.284725863043,
1,ADAMS,2007,PA,11200.0,22324.726344000417,
2,ADAMS,2008,PA,11990.0,21661.2748020005,
3,ADAMS,2009,PA,13691.0,24268.6485193131,12.0
4,ADAMS,2010,PA,15672.0,26433.218182725628,10.0
5,ADAMS,2011,PA,17587.0,28887.01237908809,
6,ADAMS,2012,PA,19290.0,31947.69161295073,
7,ALLEGHENY,2006,PA,237851.0,406285.8355159659,137.0
8,ALLEGHENY,2007,PA,262118.0,435848.1620240984,195.0
9,ALLEGHENY,2008,PA,287707.0,476399.5047016705,222.0
10,ALLEGHENY,2009,PA,301020.0,493136.63518614194,217.0
11,ALLEGHENY,2010,PA,299538.0,492443.828572817,231.0
12,ALLEGHENY,2011,PA,340378.0,537845.0673028461,241.0
13,ALLEGHENY,2012,PA,346496.0,498776.45770974853,276.0
14,ARMSTRONG,2006,PA,12309.0,19099.78112100067,14.0
15,ARMSTRONG,2007,PA,13832.0,21320.608023863144,
16,ARMSTRONG,2008,PA,15334.0,20961.50342208831,
17,ARMSTRONG,2009,PA,14744.0,20172.414049313007,
18,ARMSTRONG,2010,PA,15773.0,21526.821348975503,13.0
19,ARMSTRONG,2011,PA,17311.0,25194.94984953811,15.0
20,ARMSTRONG,2012,PA,18374.0,27975.29079828831,14.0
21,BEAVER,2006,PA,28623.0,49329.14225644086,17.0
22,BEAVER,2007,PA,32082.0,56609.7967716787,20.0
23,BEAVER,2008,PA,32937.0,58980.1503015412,18.0
24,BEAVER,2009,PA,35437.0,61690.140828115764,26.0
25,BEAVER,2010,PA,36683.0,64101.56755811486,24.0
26,BEAVER,2011,PA,41430.0,67823.12684857761,33.0
27,BEAVER,2012,PA,44677.0,71056.70690355256,31.0
28,BEDFORD,2006,PA,6864.0,11283.026570362814,
29,BEDFORD,2007,PA,7873.0,12686.37491872537,
30,BEDFORD,2008,PA,8330.0,13371.00128100037,
31,BEDFORD,2009,PA,10265.0,15457.158067725411,11.0
32,BEDFORD,2010,PA,10740.0,16334.01557636287,
33,BEDFORD,2011,PA,10991.0,16112.311413862915,
34,BEDFORD,2012,PA,12927.0,19091.26178250061,
35,BERKS,2006,PA,40755.0,58418.71197812931,29.0
36,BERKS,2007,PA,49710.0,69215.03805580523,30.0
37,BERKS,2008,PA,54179.0,80148.33066280611,38.0
38,BERKS,2009,PA,59490.0,89420.18490398041,52.0
39,BERKS,2010,PA,66846.0,99383.62745152992,49.0
40,BERKS,2011,PA,82365.0,113529.25463869378,65.0
41,BERKS,2012,PA,84954.0,120346.36072286719,40.0
