,County,Year,State,QUANTITY,MME,Deaths
0,ANDERSON,2006,TX,12172.0,14731.29075353801,1.0
1,ANDERSON,2007,TX,10912.0,13682.795291362863,
2,ANDERSON,2008,TX,10287.0,14786.688552450374,1.0
3,ANDERSON,2009,TX,10695.0,15253.728682500448,
4,ANDERSON,2010,TX,10919.0,15613.11009386294,
5,ANDERSON,2011,TX,12422.0,16751.460382500565,
6,ANDERSON,2012,TX,11116.0,16465.004666362853,
7,ANDREWS,2006,TX,802.0,1598.2814500000056,
8,ANDREWS,2007,TX,858.0,1811.2039113625115,
9,ANDREWS,2008,TX,930.0,2007.0485625000135,
10,ANDREWS,2009,TX,1275.0,2055.435375000014,
11,ANDREWS,2010,TX,1493.0,2210.586859537514,
12,ANDREWS,2011,TX,1899.0,2495.6331450000152,
13,ANDREWS,2012,TX,1943.0,3002.8851188625163,
14,ANGELINA,2006,TX,11933.0,19714.659446812864,
15,ANGELINA,2007,TX,14533.0,22634.718229725633,
16,ANGELINA,2008,TX,16351.0,23357.365508175662,
17,ANGELINA,2009,TX,16525.0,25157.708610000605,
18,ANGELINA,2010,TX,17148.0,25177.608943725605,
19,ANGELINA,2011,TX,18030.0,26600.98772340052,
20,ANGELINA,2012,TX,17929.0,25723.77172657533,
21,ARANSAS,2006,TX,3480.0,4512.872972262516,1.0
22,ARANSAS,2007,TX,4305.0,5880.160991350041,
23,ARANSAS,2008,TX,4399.0,6286.366554575059,
24,ARANSAS,2009,TX,4813.0,7502.006016337557,
25,ARANSAS,2010,TX,5438.0,7741.6443150000705,
26,ARANSAS,2011,TX,5542.0,8080.1150175001,
27,ARANSAS,2012,TX,5792.0,8394.470047725117,
28,ARCHER,2007,TX,2.0,0.6054,
29,ARCHER,2012,TX,1.0,0.3027,
30,ARMSTRONG,2006,TX,53.0,57.210300000000004,
31,ARMSTRONG,2007,TX,88.0,82.03169999999996,
32,ARMSTRONG,2008,TX,89.0,67.04805000000006,
33,ARMSTRONG,2009,TX,57.0,72.49665,
34,ARMSTRONG,2010,TX,54.0,66.8967,
35,ARMSTRONG,2011,TX,104.0,97.90831500000003,
