,County,Year,State,QUANTITY,MME,Deaths
0,ADAMS,2006,WA,2321.0,2424.5988480000024,
1,ADAMS,2007,WA,2571.0,2891.419837500007,
2,ADAMS,2008,WA,2852.0,3410.4100874999976,
3,ADAMS,2009,WA,2866.0,3836.7739499999884,
4,ADAMS,2010,WA,3133.0,4258.329037499998,
5,ADAMS,2011,WA,3541.0,4655.499187500028,
6,ADAMS,2012,WA,4230.0,4531.606597500027,
7,ASOTIN,2006,WA,6378.0,8202.401307000047,
8,ASOTIN,2007,WA,4856.0,7686.124800000049,
9,ASOTIN,2008,WA,4887.0,7928.064142725073,
10,ASOTIN,2009,WA,6611.0,9136.063605000074,
11,ASOTIN,2010,WA,12799.0,13635.55548386277,
12,ASOTIN,2011,WA,14889.0,15274.97271000031,
13,ASOTIN,2012,WA,16094.0,15922.687522500144,
14,BENTON,2006,WA,32891.0,47357.689661002965,16.0
15,BENTON,2007,WA,32072.0,46260.11479581526,17.0
16,BENTON,2008,WA,36454.0,51265.19252444006,1.0
17,BENTON,2009,WA,41422.0,56739.01941240236,17.0
18,BENTON,2010,WA,50395.0,63982.02153862791,1.0
19,BENTON,2011,WA,55263.0,69095.60077271567,16.0
20,BENTON,2012,WA,58038.0,73905.65759295227,16.0
21,CHELAN,2006,WA,15706.0,23476.26625961312,
22,CHELAN,2007,WA,17260.0,25575.99137872574,
23,CHELAN,2008,WA,18270.0,25442.207420363156,
24,CHELAN,2009,WA,17269.0,24818.139465900385,
25,CHELAN,2010,WA,18044.0,24501.49522451312,11.0
26,CHELAN,2011,WA,17626.0,23054.52249772544,1.0
27,CHELAN,2012,WA,18368.0,22610.92600931305,
28,CLALLAM,2006,WA,31940.0,38022.444306489015,15.0
29,CLALLAM,2007,WA,36658.0,45330.89320128913,19.0
30,CLALLAM,2008,WA,38717.0,48294.07059292669,17.0
31,CLALLAM,2009,WA,39700.0,52228.38990225154,13.0
32,CLALLAM,2010,WA,44639.0,56952.48580226339,11.0
33,CLALLAM,2011,WA,45596.0,55333.8618172514,
34,CLALLAM,2012,WA,42435.0,51905.33563222592,12.0
35,CLARK,2006,WA,82184.0,118467.97673088434,39.0
36,CLARK,2007,WA,108821.0,179088.58063395848,55.0
37,CLARK,2008,WA,144002.0,288267.95521598484,61.0
